Category	ID	Term	Genes	adj_pval
BP	GO:0051704	multi-organism process	ABCC2,ACE,ACOX1,APOA4,APOB,ASPM,BANK1,BICD1,BIRC3,BST2,BUB1,CARD16,CASP1,CCL5,CCT2,CD24,CD36,CDK1,CENPU,CIITA,CMPK2,CYBA,DDX60,DOCK2,EIF4EBP2,ENO1,GBP1,GBP2,GBP4,GBP5,GCNT4,GPX4,HLA-E,HMGB2,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGFBP2,IGHA1,IGHM,IL6R,IRF1,ISG15,ISG20,JAK2,KPNA2,KRT8,LGALS9,LPL,MAOB,NDC1,NLGN4X,NLRC5,NOS2,OAS1,OAS3,ODC1,PAQR7,PARK2,PARP14,PARP9,PCK1,PCNA,PIM2,PPARGC1A,PRDM1,PRKD1,PSMB8,PSMB9,PYCARD,RAN,REG4,RSAD2,SARM1,SEPP1,SLC6A4,STAT1,TAP1,TAP2,TNIP3,TOP2A,TRIM31,UBD,VNN1,XAF1,XBP1,XRCC4	1.79E-06
CC	GO:0016324	apical plasma membrane	ABCC2,ASPM,BST2,CD36,CDHR5,CYBA,ENPP3,IGFBP2,IL6R,LCT,NHS,PDZK1,PRKG2,RAB17,SI,SLC17A4,SLC19A1,SLC2A2,SLC46A1,SLC4A7,SLC5A1,SLC5A12,TRPM6	2.18E-06
MF	GO:0042803	protein homodimerization activity	ACAT1,ACOT7,AGR2,AOC1,APOA4,BST2,CCL5,CD3G,CENPF,CTSE,E2F8,ENO1,GBP1,GBP2,GBP4,GBP5,GGCT,HSP90AA1,IL6R,KIF20B,LPL,MAOB,MLXIPL,MME,NLGN4X,NOS2,ODC1,OXCT1,PEX11A,PLEK,PRKG2,PYCARD,S100A11,S100A16,SHMT1,SLC6A4,SLC9A7,ST6GAL1,STAT1,TAP1,TOP2A,WARS	3.84E-06
MF	GO:0042802	identical protein binding	ACADM,ACAT1,ACOT7,AGR2,ALDOB,ANGPTL4,AOC1,APOA1,APOA4,BST2,CARD16,CASP1,CCL5,CD3G,CENPF,CTSE,E2F8,ENO1,FBP1,GBP1,GBP2,GBP4,GBP5,GGCT,GPX4,HACL1,HGD,HSP90AA1,IFI27,IL6R,JAK2,KIF20B,LDHB,LPL,MAOB,MAPRE1,MEP1B,MLXIPL,MME,NLGN4X,NOS2,ODC1,OXCT1,PARK2,PCNA,PDIA3,PEX11A,PLEK,PRKAB2,PRKD1,PRKG2,PSME2,PYCARD,S100A11,S100A16,SHMT1,SLC6A4,SLC9A7,SORD,ST6GAL1,STAT1,TAP1,TOP2A,UHRF1,WARS,XRCC4	3.84E-06
BP	GO:0006952	defense response	APOA4,BST2,CASP1,CCL5,CD36,CIITA,CYBA,DDX60,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL32,IL6R,IRF1,ISG15,ISG20,JAK2,LGALS9,MEP1B,NLRC5,NOS2,OAS1,OAS3,OGG1,PARP14,PARP9,PRDM1,PRKD1,PSMB8,PYCARD,RSAD2,SARM1,SP140,STAT1,TAP1,TNIP3,TRIM31,UBD,VNN1,XAF1	6.45E-06
CC	GO:0044444	cytoplasmic part	ABHD6,ACADM,ACAT1,ACE,ACKR4,ACOT7,ACOX1,ACSF2,ADH4,ADI1,AGMO,AGR2,AK1,AKR7L,ALDOB,ANAPC7,ANLN,ANO5,AOC1,APOA1,APOA4,APOB,APOC3,ARHGAP8,ASAH2,ATP8B2,BICD1,BIRC3,BST1,BST2,BTD,BUB1,C19orf33,CASP1,CCND1,CCT2,CD36,CD3G,CDC20,CDCA8,CDK1,CENPE,CENPF,CENPU,CEP55,CLSPN,CLSTN2,CMPK2,COL25A1,COL4A5,CTSE,CYBA,CYP2C9,CYP3A4,CYP3A5,CYP4F3,DCC,DDX60,DEPDC7,DERL3,DLGAP5,DNAJA1,DNAJC10,DOCK2,DUSP6,E2F8,EGLN3,ENO1,ENPP3,EPHX1,FAM134B,FAM13A,FBP1,FGL2,FMO5,G6PC,GATM,GBP1,GBP2,GBP4,GBP5,GCLM,GCNT4,GGCT,GPX4,GRAMD1B,GRB10,HACL1,HGD,HLA-E,HMGB2,HMGCS2,HMMR,HSD17B11,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IFI27,IFI30,IFITM3,IGFBP2,IL32,IRF1,IRS2,ISG15,ITM2C,IYD,JAK2,KAZN,KCNIP4,KIF14,KIF20B,KIF23,KIF4A,KNTC1,KPNA2,KRT20,KRT8,LAP3,LDHB,LGALS9,LRRC59,MANF,MAOB,MAPRE1,MARC2,MCM5,MLXIPL,MME,MT1G,MUC2,MXI1,MYZAP,MZB1,NCAPG,NHS,NLRC5,NOS2,NUF2,OAS1,OAS3,OAT,ODC1,OGG1,OXCT1,PARK2,PARP14,PARP9,PCK1,PDIA3,PDIA4,PDIA6,PDK4,PEX11A,PFKFB4,PHLPP2,PLEK,PLIN2,PLOD2,PPARGC1A,PRC1,PRKAB2,PRKCB,PRKD1,PRKG2,PRSS12,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RAB17,RAN,RARRES3,RHOBTB2,RSAD2,S100A11,S100A16,SARM1,SCTR,SDF2L1,SEPP1,SFXN3,SHMT1,SI,SLA,SLC25A28,SLC2A12,SLC4A7,SLC6A4,SLC9A7,SNRNP40,SORD,SP140,ST6GAL1,STARD4,STAT1,STON2,SULT1B1,SULT2A1,TAP1,TAP2,TBC1D2,TM4SF20,TMEM258,TNIP3,TOMM40,TOP2A,TRIM31,TRMT61B,TSPAN1,TUBA1B,TXNDC5,UBD,UBE2L6,UGT2B7,VNN1,WARS,XAF1,XBP1,XRCC4	7.64E-06
BP	GO:0043901	negative regulation of multi-organism process	BST2,CARD16,CCL5,CD36,FGL2,HLA-E,IFITM1,IFITM3,ISG15,ISG20,LGALS9,NLRC5,OAS1,OAS3,PARK2,PARP14,RSAD2,STAT1,TRIM31	9.54E-06
CC	GO:0031982	vesicle	ABHD6,ACAT1,ACE,ACKR4,ACOT7,AK1,AKR7L,ALDOB,ANO5,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BICD1,BST1,BST2,BTD,CCT2,CD36,CD3G,CDHR5,CDK1,CTSE,CYBA,DNAJA1,DOCK2,ENO1,ENPP3,F11,FBP1,FGL2,GATM,GBP1,GBP5,GGCT,GPX4,H2AFZ,HGD,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IFITM3,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,ITM2C,IYD,JAK2,KIF12,KRT8,LAP3,LDHB,MME,PARK2,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDZK1,PLOD2,PRKCB,PRSS12,PSMB8,PSMB9,PSME2,PTGR1,PTPN1,PYCARD,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLA,SLC13A2,SLC38A1,SLC4A7,SLC5A1,SLC5A12,SLC5A9,SLC6A4,SLC9A7,SORD,STARD4,STON2,TAP1,TAP2,TBC1D2,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,VNN1,WARS	1.17E-05
BP	GO:0044248	cellular catabolic process	ABHD6,ACADM,ACAT1,ACE,ACOT7,ACOX1,ANAPC7,APOA4,APOB,APOC3,ASAH2,CD36,CDC20,CDK1,CYP2C9,CYP3A4,CYP3A5,CYP4F3,DERL3,DNAJC10,ENPP2,ENPP3,EPHX1,ERI1,FAM134B,G6PC,HACL1,HGD,HMGB2,HMMR,HSP90AA1,HSP90B1,HSPA5,IFI27,ISG15,ISG20,KIF14,LPL,MAOB,MME,NOS2,OGG1,OXCT1,PARK2,PPARGC1A,PRKAB2,PSMB8,PSMB9,PSME2,SDF2L1,SHMT1,SORD,SULT1B1,SULT2A1,TOMM40,TREH,UBD,UHRF1,XBP1	1.23E-05
CC	GO:0030496	midbody	ANLN,ASPM,CDCA8,CDK1,CENPE,CENPF,CEP55,HSP90B1,HSPA5,KIF14,KIF20B,KIF23,KIF4A,LAP3,PRC1,RAN	1.69E-05
BP	GO:0017144	drug metabolic process	ABCC2,ACAT1,ACOX1,ADH4,ADI1,AK1,APOA4,BTD,CYBA,CYP2C9,CYP3A4,CYP3A5,GATM,HGD,HMGCS2,MAOB,NOS2,OAT,OXCT1,PARK2,SHMT1,SLC19A1,SLC19A3,SLC46A1,ST6GAL1,SULT1B1,SULT2A1	1.88E-05
BP	GO:1903900	regulation of viral life cycle	BST2,CCL5,IFI27,IFITM1,IFITM3,ISG15,ISG20,KPNA2,LGALS9,OAS1,OAS3,PARK2,RSAD2,TOP2A,TRIM31	1.88E-05
BP	GO:0045071	negative regulation of viral genome replication	BST2,CCL5,IFITM1,IFITM3,ISG15,ISG20,OAS1,OAS3,PARK2,RSAD2	2.20E-05
BP	GO:0060333	interferon-gamma-mediated signaling pathway	CIITA,GBP1,GBP2,HLA-E,IFI30,IRF1,JAK2,OAS1,OAS3,STAT1,TRIM31	2.55E-05
BP	GO:0009056	catabolic process	ABHD6,ACADM,ACAT1,ACE,ACOT7,ACOX1,ADH4,ALDOB,ANAPC7,APOA4,APOB,APOC3,ASAH2,CD36,CDC20,CDK1,CYP2C9,CYP3A4,CYP3A5,CYP4F3,DERL3,DNAJC10,ENO1,ENPP2,ENPP3,EPHX1,ERI1,FAM134B,G6PC,HACL1,HGD,HMGB2,HMMR,HSD17B11,HSP90AA1,HSP90B1,HSPA5,IFI27,ISG15,ISG20,KIF14,LPL,MAOB,MME,NOS2,OGG1,OXCT1,PARK2,PPARGC1A,PRKAB2,PSMB8,PSMB9,PSME2,RARRES3,SDF2L1,SHMT1,SORD,SULT1B1,SULT2A1,TOMM40,TREH,UBD,UHRF1,XBP1	2.93E-05
BP	GO:0045069	regulation of viral genome replication	BST2,CCL5,IFI27,IFITM1,IFITM3,ISG15,ISG20,OAS1,OAS3,PARK2,RSAD2,TOP2A	3.79E-05
BP	GO:0002682	regulation of immune system process	ACE,APOA1,APOB,BANK1,BIRC3,BST1,BST2,C1orf186,CCL5,CD24,CD36,CD3G,CYBA,DDX60,ENPP3,FGL2,GBP1,GBP5,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPH1,IFITM1,IGFBP2,IGHG1,IGHG3,IGHG4,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL6R,IRF1,IRS2,ISG15,JAK2,LGALS9,MUC2,MZB1,NLRC5,PARP14,PARP9,PRDM1,PRKCB,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,SLC39A10,STAT1,TNIP3,VNN1,XBP1	3.86E-05
BP	GO:0032787	monocarboxylic acid metabolic process	ABCC2,ACADM,ACOT7,ACOX1,ACSF2,ALDOB,BTD,CD36,CYP2C9,CYP3A4,CYP4F3,ENO1,GPX4,HACL1,IDH2,LDHB,LPL,PCK1,PPARGC1A,PRKAB2,PTGR1,SORD,SULT2A1,UGT2A3,UGT2B7,VNN1,XBP1	3.93E-05
BP	GO:0002684	positive regulation of immune system process	APOB,BIRC3,C1orf186,CCL5,CD24,CD36,CD3G,CYBA,DDX60,ENPP3,GBP5,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPH1,IGFBP2,IGHG1,IGHG3,IGHG4,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL6R,IRS2,ISG15,LGALS9,MUC2,MZB1,NLRC5,PARP9,PRKCB,PSMB8,PSMB9,PSME2,PYCARD,RSAD2,SLC39A10,STAT1,TNIP3,VNN1,XBP1	3.93E-05
MF	GO:0015294	solute:cation symporter activity	SLC13A2,SLC15A1,SLC17A4,SLC28A1,SLC28A2,SLC38A1,SLC4A7,SLC5A1,SLC5A12,SLC5A9,SLC6A4	4.22E-05
MF	GO:0015370	solute:sodium symporter activity	SLC13A2,SLC17A4,SLC28A1,SLC28A2,SLC38A1,SLC4A7,SLC5A1,SLC5A12,SLC5A9,SLC6A4	4.22E-05
BP	GO:0048525	negative regulation of viral process	BST2,CCL5,IFITM1,IFITM3,ISG15,ISG20,OAS1,OAS3,PARK2,RSAD2,STAT1,TRIM31	4.36E-05
CC	GO:0045177	apical part of cell	ABCC2,ASPM,BST2,CD36,CDHR5,CYBA,ENPP3,IGFBP2,IL6R,LCT,NHS,PDZK1,PRKG2,RAB17,SI,SLC17A4,SLC19A1,SLC2A2,SLC46A1,SLC4A7,SLC5A1,SLC5A12,TRPM6	4.56E-05
BP	GO:0050792	regulation of viral process	BST2,CCL5,IFI27,IFITM1,IFITM3,ISG15,ISG20,KPNA2,LGALS9,NELFE,OAS1,OAS3,PARK2,RSAD2,STAT1,TOP2A,TRIM31	4.63E-05
BP	GO:0008152	metabolic process	ABCC2,ABHD6,ACADM,ACAT1,ACE,ACOT7,ACOX1,ACSF2,ADH4,ADI1,AGMO,AK1,AKR7L,ALDOB,ANAPC7,ANGPTL4,AOC1,APOA1,APOA4,APOB,APOC3,APOL6,ASAH2,BICD1,BIRC3,BST1,BTD,BUB1,CARD16,CASP1,CCL5,CCND1,CCNG2,CD24,CD36,CDC20,CDK1,CENPF,CERK,CIITA,CLSPN,CMPK2,CTSE,CYBA,CYP2C9,CYP3A4,CYP3A5,CYP4F3,DERL3,DLGAP5,DNAJC10,DUSP6,EAF2,EGLN3,EIF4EBP2,ENO1,ENPP2,ENPP3,EPHX1,ERI1,ETV7,F11,FAM134B,FBP1,FGL2,FKBP11,FMO5,FOXM1,G6PC,GATM,GCLM,GCNT4,GGCT,GPX4,HACL1,HGD,HMGB2,HMGCS2,HMMR,HSD17B11,HSP90AA1,HSP90B1,HSPA5,IDH2,IFI27,IFI30,IGFBP2,IGHA1,IRF1,IRS2,ISG15,ISG20,IYD,JAK2,KIF14,KLHL24,KPNA2,LAP3,LCT,LDHB,LGALS9,LPL,MAF,MAOB,MARC2,MCM4,MCM5,MEP1B,MME,MUC2,NDC1,NELFE,NOP56,NOS2,NRG1,OAS1,OAS3,OAT,ODC1,OGG1,OXCT1,PARK2,PARP14,PARP9,PBX1,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDK4,PFKFB4,PIM2,PLA2R1,PLEK,PLOD2,POLQ,PPARGC1A,PRDM1,PRKAB2,PRKCB,PRKD1,PRKG2,PRSS12,PSMB8,PSMB9,PSME2,PTGR1,PTPN1,PYCARD,RAN,RARRES3,SCTR,SDF2L1,SFXN3,SHMT1,SI,SLC17A4,SLC19A1,SLC19A3,SLC28A1,SLC28A2,SLC2A2,SLC46A1,SLC6A4,SLC7A6,SNRNP40,SORD,SSRP1,ST6GAL1,STRA13,SULT1B1,SULT2A1,TFF1,THSD4,TMEM258,TNIP3,TOMM40,TOP2A,TRAM2,TREH,TRIM31,TRMT61B,TRPM6,UBD,UBE2L6,UGT2A3,UGT2B7,UHRF1,VNN1,WARS,XBP1,XRCC4,ZC3H12C	5.90E-05
BP	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	BST2,CCL5,CD36,IFI27,IFITM1,IFITM3,ISG15,ISG20,KPNA2,LGALS9,NELFE,OAS1,OAS3,PARK2,RSAD2,STAT1,TOP2A,TRIM31	5.92E-05
BP	GO:0034371	chylomicron remodeling	APOA1,APOA4,APOB,APOC3,LPL	5.92E-05
BP	GO:1903901	negative regulation of viral life cycle	BST2,CCL5,IFITM1,IFITM3,ISG15,ISG20,OAS1,OAS3,PARK2,RSAD2,TRIM31	5.92E-05
MF	GO:0043168	anion binding	ABCA10,ABCC2,ACADM,ACE,ACOT7,ACOX1,ACSF2,ADH4,AK1,AOC1,APOA1,APOA4,APOB,APOC3,ATP8B2,BUB1,CCT2,CDK1,CENPE,CERK,CIITA,CMPK2,COL25A1,DDX60,DNAJA1,EGLN3,F11,FBP1,FMO5,G6PC,GBP1,GBP2,GBP4,GBP5,GRAMD1B,HACL1,HMMR,HSP90AA1,HSP90B1,HSPH1,IFI44L,IGHM,ITM2C,IYD,JAK2,KIF12,KIF14,KIF20B,KIF23,KIF4A,LPL,MAOB,MARC2,MCM4,MCM5,MKI67,MME,NLGN4X,NLRC5,NOS2,OAS1,OAS3,PARP9,PCK1,PDK4,PFKFB4,PIM2,PLEK,PLOD2,POLQ,PRKCB,PRKD1,PRKG2,RAB17,RAN,REG4,SHMT1,SLC46A1,SMOC2,TAP1,TAP2,TOP2A,TRPM6,UGT2B7,WARS	6.13E-05
MF	GO:0046983	protein dimerization activity	ACAT1,ACOT7,AGR2,ANO5,AOC1,APOA4,BST2,CCL5,CD3G,CENPF,CTSE,CYBA,E2F5,E2F8,ENO1,GBP1,GBP2,GBP4,GBP5,GCLM,GGCT,H2AFZ,HSP90AA1,IL6R,KIF20B,LPL,MAOB,MLXIPL,MME,MXI1,NLGN4X,NOS2,ODC1,OXCT1,PBX1,PEX11A,PLEK,PRKG2,PYCARD,RAN,S100A11,S100A16,SHMT1,SLC6A4,SLC9A7,ST6GAL1,STAT1,TAP1,TOP2A,WARS,XBP1	6.13E-05
MF	GO:0003824	catalytic activity	ABHD6,ACADM,ACAT1,ACE,ACOT7,ACOX1,ACSF2,ADH4,ADI1,AGMO,AK1,AKR7L,ALDOB,AOC1,ASAH2,BIRC3,BST1,BTD,BUB1,CARD16,CASP1,CCL5,CDK1,CENPE,CERK,CIITA,CMPK2,CTSE,CYBA,CYP2C9,CYP3A4,CYP3A5,CYP4F3,DDX60,DLGAP5,DNAJC10,DUSP6,EGLN3,ENO1,ENPP2,ENPP3,EPHX1,ERI1,F11,FAM46C,FBP1,FGL2,FKBP11,G6PC,GATM,GBP1,GBP2,GBP4,GBP5,GCLM,GCNT4,GGCT,GPX4,HACL1,HMGCS2,HSD17B11,HSP90AA1,HSPA5,IDH2,IFI30,ISG20,IYD,JAK2,KIF14,KIF20B,LAP3,LCT,LDHB,LPL,MAOB,MARC2,MCM4,MCM5,MME,NOS2,OAS1,OAS3,ODC1,OGG1,OXCT1,PARK2,PARP14,PARP9,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDK4,PFKFB4,PIM2,PLOD2,POLQ,PRDM1,PRKAB2,PRKCB,PRKD1,PRKG2,PRSS12,PSMB8,PSMB9,PTGR1,PTPN1,RAB17,RAN,RARRES3,RSAD2,SHMT1,SI,SORD,ST6GAL1,SULT1B1,SULT2A1,TAP1,TAP2,THSD4,TOP2A,TREH,TRHDE,TRIM31,TRMT61B,TRPM6,TUBA1B,TXNDC5,UBE2L6,UGT2A3,UGT2B7,UHRF1,VNN1,WARS,XRCC4,ZC3H12C	6.13E-05
BP	GO:0051607	defense response to virus	BST2,DDX60,GBP1,IFI27,IFI44L,IFITM3,IRF1,ISG15,ISG20,NLRC5,OAS1,OAS3,PARP9,PYCARD,RSAD2,STAT1	6.91E-05
MF	GO:0036094	small molecule binding	ABCA10,ABCC2,ACADM,ACOT7,ACOX1,ACSF2,ADH4,AK1,ALDOB,APOA1,APOC3,ATP8B2,BUB1,CCT2,CDK1,CENPE,CERK,CIITA,CMPK2,CYP3A4,CYP3A5,DDX60,DNAJA1,EGLN3,FBP1,FMO5,GBP1,GBP2,GBP4,GBP5,GRAMD1B,HACL1,HMMR,HSP90AA1,HSP90B1,HSPH1,IDH2,IFI44L,ITM2C,IYD,JAK2,KIF12,KIF14,KIF20B,KIF23,KIF4A,LGALS9,MAOB,MARC2,MCM4,MCM5,MKI67,NLRC5,NOS2,OAS1,OAS3,PARP9,PCK1,PDK4,PFKFB4,PIM2,PLOD2,POLQ,PRKCB,PRKD1,PRKG2,RAB17,RAN,SHMT1,SLC46A1,SORD,STARD4,TAP1,TAP2,TOP2A,TRPM6,UGT2B7,UHRF1,WARS	7.03E-05
BP	GO:0034612	response to tumor necrosis factor	ABCC2,APOB,BIRC3,CCL5,CYBA,GBP1,GBP2,JAK2,KRT8,PCK1,PPARGC1A,PSMB8,PSMB9,PSME2,PYCARD,STAT1,TNFRSF17,UBD	7.55E-05
BP	GO:1901575	organic substance catabolic process	ABHD6,ACADM,ACAT1,ACE,ACOT7,ACOX1,ADH4,ALDOB,ANAPC7,APOA4,APOB,APOC3,ASAH2,CDC20,CDK1,CYP3A4,CYP3A5,CYP4F3,DERL3,DNAJC10,ENO1,ENPP2,ENPP3,ERI1,G6PC,HACL1,HGD,HMGB2,HMMR,HSD17B11,HSP90AA1,HSP90B1,HSPA5,IFI27,ISG15,ISG20,KIF14,LPL,MAOB,NOS2,OGG1,OXCT1,PARK2,PSMB8,PSMB9,PSME2,RARRES3,SDF2L1,SHMT1,SORD,SULT1B1,SULT2A1,TREH,UBD,UHRF1,XBP1	7.55E-05
BP	GO:0071356	cellular response to tumor necrosis factor	ABCC2,APOB,BIRC3,CCL5,CYBA,GBP1,GBP2,JAK2,KRT8,PCK1,PPARGC1A,PSMB8,PSMB9,PSME2,PYCARD,STAT1,TNFRSF17	9.04E-05
BP	GO:0051716	cellular response to stimulus	ABCC2,ACKR4,AGR2,AKR7L,AOC1,APOA1,APOA4,APOB,APOC3,AQP10,ARHGAP8,ASAH2,BIRC3,BST1,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CD24,CD36,CD3G,CDK1,CIITA,CLSPN,CMPK2,CNGA1,COL4A5,CYBA,CYP2C9,CYP3A4,CYP3A5,DCC,DEPDC1,DEPDC7,DERL3,DLGAP5,DNAJC10,DOCK2,DUSP6,E2F8,EGLN3,EIF4EBP2,EPHX1,FAM13A,FBP1,FOXM1,GBP1,GBP2,GBP4,GBP5,GCLM,GGCT,GPX4,GRAMD1B,GRB10,H2AFZ,HLA-E,HMGB2,HRH2,HSP90AA1,HSP90B1,HSPA5,IFI27,IFI30,IFITM1,IFITM3,IGFBP2,IGHG1,IGHG3,IGHG4,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,IYD,JAK2,KPNA2,KRT20,KRT8,LGALS9,LPL,MARC2,MATN2,MLXIPL,MME,MT1G,MUC2,MYZAP,NOS2,NRG1,NRG3,OAS1,OAS3,OGG1,PAQR7,PARK2,PARP9,PBX1,PCK1,PCNA,PDIA3,PDIA6,PDK4,PEX11A,PLA2R1,PLEK,POLQ,PPARGC1A,PRKAB2,PRKCB,PRKD1,PRKG2,PSMB8,PSMB9,PSME2,PTH2R,PTPN1,PYCARD,RAN,RSAD2,S100A11,SARM1,SCTR,SDF2L1,SHMT1,SLC6A4,SSRP1,STAT1,STRA13,SULT1B1,TNFRSF17,TNIP3,TOP2A,TRHDE,TRIM31,TUBA1B,UBE2L6,UHRF1,UNC5D,XAF1,XBP1,XRCC4	1.22E-04
BP	GO:0045088	regulation of innate immune response	APOB,BIRC3,CCL5,CD36,CYBA,DDX60,GBP5,HLA-E,HSP90B1,IRF1,JAK2,LGALS9,MUC2,NLRC5,PARP14,PARP9,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,STAT1,TNIP3	1.25E-04
BP	GO:0050776	regulation of immune response	APOA1,APOB,BIRC3,BST2,CCL5,CD24,CD36,CD3G,CYBA,DDX60,ENPP3,GBP1,GBP5,HLA-E,HSP90AA1,HSP90B1,IFITM1,IGHG1,IGHG3,IGHG4,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IRF1,JAK2,LGALS9,MUC2,NLRC5,PARP14,PARP9,PRKCB,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,STAT1,TNIP3,XBP1	1.25E-04
BP	GO:0015850	organic hydroxy compound transport	ABCC2,APOA1,APOA4,APOB,APOC3,AQP10,CD36,GRAMD1B,PARK2,SLC5A11,SLC5A12,SLC6A4,STARD4	1.52E-04
CC	GO:0005903	brush border	ABCC2,CD36,CDHR5,MME,PDZK1,SI,SLC15A1,SLC2A2,SLC46A1,SLC5A1,TRPM6	1.64E-04
BP	GO:0002831	regulation of response to biotic stimulus	APOB,BIRC3,CARD16,CCL5,CD36,CYBA,DDX60,FGL2,GBP5,HLA-E,HSP90B1,IRF1,JAK2,LGALS9,MUC2,NLRC5,PARP14,PARP9,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,STAT1,TNIP3	1.73E-04
BP	GO:0055088	lipid homeostasis	ANGPTL4,APOA1,APOA4,APOB,APOC3,CD24,G6PC,GRAMD1B,IRS2,LPL,MLXIPL,XBP1	2.20E-04
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	APOA1,BIRC3,CARD16,CASP1,CCL5,CD24,JAK2,NLRC5,PARK2,PARP14,PARP9,PTPN1,PYCARD,STAT1	2.46E-04
BP	GO:0009617	response to bacterium	ABCC2,APOB,BANK1,CARD16,CASP1,CCL5,CD24,CD36,CMPK2,GBP5,HLA-E,HMGB2,IGHA1,IGHM,IL6R,ISG15,JAK2,LGALS9,LPL,MAOB,NLRC5,NOS2,PCK1,PPARGC1A,PYCARD,REG4,TNIP3,XBP1	2.52E-04
BP	GO:0051179	localization	ABCA10,ABCC2,ACE,ACKR4,ACOX1,AGR2,ANLN,ANO5,AOC1,APOA1,APOA4,APOB,APOC3,APOL6,AQP10,ASPM,ATP8B2,BICD1,BST1,BST2,CCL5,CCND1,CCT2,CD24,CD36,CD3G,CDCA8,CDK1,CENPE,CENPF,CEP55,CNGA1,CYBA,DCC,DLGAP5,DNAJA1,DOCK2,ENPP2,ENPP3,FGL2,G6PC,GBP1,GBP2,GBP5,GRAMD1B,HACL1,HIST1H1B,HMGB2,HRH2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL6R,ISG15,KCNIP4,KIF14,KIF20B,KIF23,KIF4A,KPNA2,MANF,MAPRE1,MATN2,MEP1B,MME,MXI1,NDC1,NOS2,NRG1,NRG3,PARK2,PARP9,PDIA4,PDZK1,PLA2R1,PLEK,PLIN2,PRKAB2,PRKCB,PRKD1,PRKG2,PRSS12,PSMB8,PSMB9,PSME2,PYCARD,RAB17,RAN,S100A11,SEPP1,SFXN3,SLC13A2,SLC15A1,SLC17A4,SLC19A1,SLC19A3,SLC28A1,SLC28A2,SLC2A12,SLC2A2,SLC38A1,SLC46A1,SLC4A7,SLC5A1,SLC5A11,SLC5A12,SLC5A9,SLC6A4,SLC7A6,SLC9A7,SORD,STARD4,STAT1,STON2,TAP1,TAP2,TOMM40,TRAM2,TRPM6,TSPAN1,TUBA1B,TXNDC5,VNN1,XBP1	2.68E-04
BP	GO:0034370	triglyceride-rich lipoprotein particle remodeling	APOA1,APOA4,APOB,APOC3,LPL	2.68E-04
BP	GO:0000070	mitotic sister chromatid segregation	CDC20,CDCA8,CENPE,CEP55,DLGAP5,KIF14,KIF23,KIF4A,NCAPG,PRC1,RAN	2.90E-04
BP	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	CD36,CYBA,HLA-E,IFI30,PDIA3,PSMB8,PSMB9,PSME2,TAP1,TAP2	3.01E-04
BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	ACE,CD36,CYBA,HLA-E,IFI30,PDIA3,PSMB8,PSMB9,PSME2,TAP1,TAP2	3.12E-04
BP	GO:0080134	regulation of response to stress	AGR2,APOA1,APOB,BIRC3,BST1,CCL5,CD36,CYBA,DDX60,DERL3,DNAJA1,ENO1,ENPP3,F11,FGL2,FOXM1,GBP5,GPX4,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPH1,IRF1,JAK2,LGALS9,LPL,MANF,MUC2,NDC1,NLRC5,NOS2,OGG1,PARK2,PARP14,PARP9,PCNA,PLA2R1,PLEK,POLQ,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,SMOC2,STAT1,TNIP3,VNN1,XBP1	3.65E-04
